symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
HYPE,LONG,ensemble,SL,31.68,30.81,30.82,33.41,35.66,-435.96,5.01,1.53,67.7,1.56,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,29.93,30.38,30.34,29.09,27.95,-324.08,10.96,1.0,88.1,1.07,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,30.16,30.8,30.74,28.99,27.62,-330.17,7.94,1.0,91.7,1.1,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,31.0,32.89,30.35,32.28,33.92,537.38,1.56,3.0,72.4,8.85,0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,31.0,32.46,30.35,32.28,33.92,624.61,2.3,3.0,72.4,6.85,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,LONG,ensemble,TP1,86.28,91.36,84.35,90.14,94.7,610.57,4.95,1.11,65.5,2.92,-0.0,,WIN,,,
SOL,LONG,ensemble,TRAILING_STOP,86.28,89.8,84.35,90.14,94.7,281.92,3.25,1.11,65.5,2.02,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,LONG,ensemble,SL,91.2,88.73,89.63,94.35,97.7,-553.24,9.93,1.0,86.5,1.57,0.0,IDLE->OPEN->CLOSED,LOSS,,,
SOL,SHORT,ensemble,SL,82.29,83.37,83.29,80.28,77.87,-298.62,11.48,1.0,73.2,1.08,0.0,IDLE->OPEN->CLOSED,LOSS,,,
SOL,SHORT,ensemble,SL,82.21,84.49,83.65,79.33,74.97,-438.77,8.15,1.0,73.2,1.58,0.0,IDLE->OPEN->CLOSED,LOSS,,,
SOL,LONG,ensemble,BACKTEST_END,85.97,85.52,84.48,88.95,92.59,-131.3,6.54,1.91,69.5,0.58,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,SL,72588.3,71102.43,71701.7,74361.4,76352.8,-494.75,11.84,1.0,86.5,1.68,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,66862.6,67450.71,67395.9,65795.9,64602.6,-249.59,14.31,1.0,71.1,1.1,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,TP1,67254.4,65573.0,68008.6,65745.9,63762.4,359.21,7.0,1.0,71.1,2.23,-0.0,,WIN,,,
BTC,SHORT,ensemble,TRAILING_STOP,67254.4,66557.26,68008.6,65745.9,63762.4,63.83,3.05,1.0,71.1,0.92,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
BTC,LONG,ensemble,BACKTEST_END,69264.6,69394.0,68370.0,71053.9,73237.9,64.95,5.8,3.0,74.2,0.43,0.0,IDLE->OPEN->CLOSED,WIN,,,
