symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
BTC,SHORT,ensemble,SL,77938.0,77838.8,78707.6,76398.8,75570.0,15.28,1.07,5.6,60.0,0.72,13.0,IDLE->OPEN->CLOSED,WIN,,,
BTC,LONG,ensemble,SL,77994.6,76683.94,77032.7,79918.3,81841.9,-157.07,0.82,5.6,74.0,7.63,12.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,74554.1,76035.1,75743.9,72174.4,70893.1,-138.68,1.78,2.0,100,2.49,10.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,76077.9,77238.6,76798.4,74637.1,73196.2,-163.98,2.73,2.0,67.0,3.22,1.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,76713.4,77651.11,77329.1,75657.0,73901.0,-139.55,0.83,7.0,68.5,10.66,8.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,SL,76974.8,75823.67,75935.3,79053.7,81132.6,-100.47,1.65,2.0,65.0,2.21,2.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,TP1,75264.9,73088.7,76089.0,74028.9,74032.4,136.49,1.15,2.0,71.0,5.28,0.0,,WIN,,,
BTC,SHORT,ensemble,TP2,75264.9,73088.7,76089.0,74028.9,74032.4,90.97,0.76,2.0,71.0,5.28,10.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,SHORT,ensemble,TP1,2186.16,2092.17,2196.75,2164.97,2143.78,633.72,1.26,5.6,73.0,49.7,0.0,,WIN,,,
ETH,SHORT,ensemble,TP2,2186.16,2092.17,2196.75,2164.97,2143.78,111.85,0.22,5.6,73.0,49.7,8.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,LONG,ensemble,TP1,2119.13,2157.99,2092.93,2154.23,2173.73,109.83,0.54,5.6,70.0,8.31,0.0,,WIN,,,
ETH,LONG,ensemble,TRAILING_STOP,2119.13,2121.82,2092.93,2154.23,2173.73,6.22,0.44,5.6,70.0,0.57,9.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,SHORT,ensemble,SL,2107.92,2146.11,2146.1,2031.55,1955.18,-128.67,0.65,5.6,65.0,5.6,6.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,TP1,2132.45,2096.27,2154.1,2096.4,2060.35,154.67,0.8,5.6,66.0,9.36,0.0,,WIN,,,
ETH,SHORT,ensemble,TRAILING_STOP,2132.45,2113.91,2154.1,2096.4,2060.35,40.84,0.42,5.6,66.0,4.8,10.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,SHORT,ensemble,SL,2112.29,2131.17,2127.92,2086.26,2060.22,-172.6,1.74,5.6,76.0,6.76,9.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,LONG,ensemble,SL,2146.66,2109.41,2115.18,2193.89,2222.22,-141.98,0.72,5.6,70.0,6.63,6.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,SL,2119.65,2153.5,2144.22,2076.31,2011.46,-155.3,0.71,7.0,80.6,9.64,2.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,SL,2122.15,2139.1,2137.46,2096.11,2054.79,-113.01,3.57,2.0,86.3,2.21,1.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,TP1,2122.13,2083.83,2136.96,2092.46,2062.8,126.02,1.71,2.0,88.0,5.17,0.0,,WIN,,,
ETH,SHORT,ensemble,TRAILING_STOP,2122.13,2103.1,2136.96,2092.46,2062.8,62.62,1.73,2.0,88.0,2.57,2.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,SHORT,ensemble,TP1,2065.5,2010.0,2099.68,2014.22,2014.36,87.42,0.79,2.0,79.5,3.25,0.0,,WIN,,,
ETH,SHORT,ensemble,TP2,2065.5,2010.0,2099.68,2014.22,2014.36,94.73,0.86,2.0,79.5,3.25,7.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,SHORT,ensemble,SL,2043.98,2083.81,2074.7,1982.54,1949.46,-153.44,0.72,5.6,68.9,7.26,4.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,TP1,2107.99,2064.15,2126.9,2070.17,2032.34,137.16,0.58,5.6,72.1,12.98,0.0,,WIN,,,
ETH,SHORT,ensemble,TRAILING_STOP,2107.99,2100.24,2126.9,2070.17,2032.34,19.84,0.48,5.6,72.1,2.3,8.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
ETH,SHORT,ensemble,SL,2105.28,2139.05,2138.02,2039.79,1974.31,-121.92,0.69,5.6,67.0,5.78,10.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,SL,2107.63,2139.6,2131.54,2059.79,2011.95,-148.52,0.89,5.6,67.0,7.49,13.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,LONG,ensemble,SL,2111.79,2072.54,2076.18,2183.0,2254.22,-119.58,0.56,5.6,65.0,6.17,1.0,IDLE->OPEN->CLOSED,LOSS,,,
ETH,SHORT,ensemble,TP1,2077.96,2054.57,2087.7,2058.48,2039.01,107.93,2.37,2.0,68.0,4.8,0.0,,WIN,,,
ETH,SHORT,ensemble,TRAILING_STOP,2077.96,2080.0,2087.7,2058.48,2039.01,-9.41,2.4,2.0,68.0,0.42,2.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
ETH,SHORT,ensemble,TP1,2056.68,2013.62,2077.92,2014.2,1971.72,91.73,1.07,2.0,88.0,4.05,0,,WIN,,,
