symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
HYPE,SHORT,ensemble,TP1,46.01,45.35,46.52,45.4,44.79,181.25,3.11,2.0,72.4,2.61,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TP2,46.01,44.41,46.52,45.4,44.79,146.93,1.02,2.0,72.4,6.34,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,43.64,44.17,44.13,43.04,42.43,-201.28,4.19,2.0,71.1,2.14,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,43.73,44.59,44.23,43.12,42.51,-375.54,4.84,2.0,70.4,3.44,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,43.65,44.18,43.96,43.26,42.69,-320.03,8.46,1.57,67.9,2.65,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,44.48,45.06,44.67,44.24,43.88,-499.83,9.69,2.0,75.0,5.89,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,44.51,44.78,44.76,44.19,43.67,-182.78,6.96,2.22,76.1,2.41,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,44.2,45.0,44.47,43.87,43.37,-444.2,5.55,2.25,76.3,6.62,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,44.68,43.67,45.02,44.24,43.52,465.33,3.95,2.54,80.7,7.65,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,44.68,44.1,45.02,44.24,43.52,29.83,0.45,2.54,80.7,4.4,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,42.68,43.1,42.95,42.34,41.84,-136.73,2.66,2.6,78.0,4.02,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,43.4,44.52,43.68,43.07,42.57,-525.1,4.6,2.28,76.4,9.17,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,44.1,44.73,44.41,43.72,43.15,-322.25,4.18,2.72,78.6,5.52,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,45.59,45.99,45.37,45.86,46.26,136.73,7.58,1.04,65.2,1.87,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,45.59,45.81,45.37,45.86,46.26,12.96,1.33,1.04,65.2,1.01,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,46.3,46.01,46.06,46.6,47.04,-199.59,8.28,1.86,69.3,2.29,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,45.37,45.75,45.11,45.7,46.18,142.72,3.14,2.76,78.8,3.89,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,45.37,46.23,45.11,45.7,46.18,57.41,0.56,2.76,78.8,8.83,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,47.05,47.35,46.81,47.34,47.78,80.98,3.18,2.0,70.6,2.51,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,47.05,46.24,46.81,47.34,47.78,-38.47,0.55,2.0,70.6,6.75,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,46.56,47.17,46.22,46.97,47.6,256.02,4.96,2.0,71.1,3.56,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,46.56,47.79,46.22,46.97,47.6,91.02,0.89,2.0,71.1,7.18,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,46.93,46.55,46.71,47.19,47.59,-176.83,4.2,2.57,77.9,4.5,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,47.44,47.11,47.27,47.66,47.98,-240.22,8.2,2.07,75.3,3.93,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,47.09,47.41,46.9,47.32,47.66,189.44,7.23,1.9,69.5,3.27,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,47.09,48.37,46.9,47.32,47.66,131.25,1.3,1.9,69.5,12.84,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,49.76,50.97,49.48,50.1,50.6,454.98,4.75,2.01,75.0,8.72,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,49.76,50.97,49.48,50.1,50.6,50.74,0.53,2.01,75.0,8.72,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,50.66,50.21,50.3,51.09,51.75,-227.88,6.41,2.0,71.6,2.47,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,51.03,51.48,50.7,51.43,52.04,145.77,3.7,2.28,76.4,3.04,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,51.03,53.05,50.7,51.43,52.04,116.8,0.67,2.28,76.4,13.77,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,54.93,53.9,54.38,55.61,56.28,-295.97,3.68,2.09,75.5,3.9,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,53.84,52.61,53.11,54.82,55.88,-388.34,2.89,2.88,87.5,4.82,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,54.26,55.13,53.71,54.94,55.61,158.52,2.22,2.28,76.4,3.55,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,54.26,54.25,53.71,54.94,55.61,-0.61,0.72,2.28,76.4,0.04,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,54.96,54.38,54.52,55.48,56.27,-187.43,4.4,2.0,72.7,2.68,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,55.46,56.0,55.04,55.97,56.74,110.68,2.25,2.56,81.3,3.27,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,55.46,55.43,55.04,55.97,56.74,-0.9,0.39,2.56,81.3,0.15,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,54.67,55.71,54.25,55.24,56.15,242.67,2.38,2.74,84.9,6.68,-0.0,,WIN,,,
