symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
SOL,SHORT,ensemble,SL,83.11,87.25,86.68,77.87,72.59,-860.15,1.45,6.28,84.2,7.28,483.8,IDLE->OPEN->CLOSED,LOSS,,,
SOL,LONG,ensemble,SL,90.73,89.61,90.25,91.36,92.7,-600.22,5.73,4.2,78.0,9.9,444.8,IDLE->OPEN->CLOSED,LOSS,,,
SOL,LONG,ensemble,TP1,85.85,86.27,85.61,86.16,86.83,266.62,7.94,3.4,76.0,6.16,-293.8,IDLE->OPEN->TP1_HIT->TRAILING,WIN,,,
SOL,LONG,ensemble,TRAILING_STOP,85.85,86.09,85.61,86.16,86.83,59.37,3.16,3.4,76.0,3.44,293.8,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,SHORT,ensemble,SL,81.91,85.58,85.25,77.0,72.05,-719.03,1.39,6.05,83.5,6.64,207.8,IDLE->OPEN->CLOSED,LOSS,,,
SOL,LONG,ensemble,SL,88.78,87.57,88.15,89.63,91.42,-406.19,4.31,3.4,76.0,6.51,75.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,30.67,30.95,30.89,30.38,29.75,-258.22,3.32,4.31,73.3,5.45,438.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,31.24,31.01,31.02,31.53,32.14,-221.66,2.57,5.9,83.0,6.19,404.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,30.12,30.53,29.91,30.39,30.97,272.09,2.4,4.2,73.0,8.48,-305.8,IDLE->OPEN->TP1_HIT->TRAILING,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,30.12,30.23,29.91,30.39,30.97,28.32,0.94,4.2,73.0,2.22,315.8,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,TP1,27.57,27.23,27.73,27.37,26.92,303.03,3.66,3.24,75.6,7.25,-256.8,IDLE->OPEN->TP1_HIT->TRAILING,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,27.57,27.56,27.73,27.37,26.92,3.19,1.47,3.24,75.6,0.19,257.8,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,26.49,26.76,26.69,26.21,25.61,-279.19,1.84,7.42,88.1,9.91,222.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,26.76,27.14,26.94,26.51,25.99,-339.21,3.35,3.57,76.4,7.42,220.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,27.13,27.4,27.34,26.84,26.23,-252.45,1.94,6.48,84.9,8.51,214.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,27.53,27.59,28.18,26.58,25.62,-42.48,2.44,3.95,72.4,0.37,209.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,28.28,27.97,28.08,28.55,29.12,-270.9,3.82,3.2,75.5,4.95,197.8,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,26.22,26.63,26.39,25.99,25.49,-403.8,3.21,4.05,72.6,9.63,133.8,IDLE->OPEN->CLOSED,LOSS,,,
