symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
HYPE,SHORT,ensemble,SL,43.42,44.23,43.94,42.79,42.15,-288.84,3.32,2.38,76.9,3.69,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,46.59,45.98,46.06,47.23,47.88,-226.79,3.25,2.61,78.1,3.02,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,46.48,47.35,45.87,47.21,47.95,235.57,2.45,2.61,78.1,3.75,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,46.48,46.77,45.87,47.21,47.95,26.39,0.81,2.61,78.1,1.26,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,47.92,46.9,47.24,48.75,49.58,-352.75,3.02,2.68,83.5,4.02,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,47.26,49.54,45.79,48.91,50.56,304.9,1.18,2.81,86.3,4.35,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,47.26,48.34,45.79,48.91,50.56,48.1,0.38,2.81,86.3,2.07,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,48.35,47.65,47.72,49.12,49.88,-282.42,5.3,1.79,69.0,2.02,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,47.83,47.1,47.13,48.67,49.52,-201.7,2.44,2.68,83.5,2.8,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,47.78,47.1,47.54,48.08,48.52,-292.98,4.8,2.1,75.5,5.9,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,44.46,43.85,44.74,44.12,43.61,248.9,4.53,2.0,74.4,4.32,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TP2,44.46,43.51,44.74,44.12,43.61,43.51,0.5,2.0,74.4,6.78,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,TP1,43.81,42.63,44.26,43.27,42.72,586.15,5.27,2.0,71.1,5.27,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TP2,43.81,42.63,44.26,43.27,42.72,65.18,0.59,2.0,71.1,5.27,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,42.11,42.6,42.54,41.59,41.06,-168.37,3.7,2.0,74.9,2.24,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,42.52,41.9,42.95,41.99,41.46,136.93,2.25,2.07,75.3,2.92,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,42.52,42.9,42.95,41.99,41.46,-28.22,0.77,2.07,75.3,1.81,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,42.51,41.85,43.04,41.87,41.22,180.86,2.88,2.0,73.2,2.48,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,42.51,41.82,43.04,41.87,41.22,63.27,0.96,2.0,73.2,2.59,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,41.67,42.13,42.02,41.21,40.47,-272.34,5.06,2.51,90.1,3.28,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,40.73,41.51,41.03,40.36,39.82,-277.56,2.71,2.72,78.6,7.1,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,40.42,41.39,40.74,40.04,39.47,-539.11,4.89,2.35,76.8,7.25,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,44.66,44.23,44.4,44.98,45.45,-145.66,3.1,2.41,77.0,3.97,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,44.65,45.61,44.43,44.92,45.32,331.44,3.28,2.4,77.0,10.49,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,44.65,45.61,44.43,44.92,45.32,36.88,0.36,2.4,77.0,10.49,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,45.85,47.03,45.31,46.51,47.17,408.69,3.57,2.28,76.4,4.96,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,45.85,46.47,45.31,46.51,47.17,23.87,0.39,2.28,76.4,2.6,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,45.86,45.13,45.14,46.81,47.85,-268.92,2.91,2.88,87.5,2.91,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,47.58,48.51,47.01,48.26,48.94,130.83,1.69,2.0,74.5,3.33,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,47.58,48.95,47.01,48.26,48.94,63.72,0.57,2.0,74.5,4.88,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,51.01,49.92,50.25,52.02,53.11,-213.99,1.66,2.95,88.9,4.24,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,49.57,50.56,48.88,50.49,51.49,242.09,2.47,2.51,90.1,3.59,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,49.57,49.67,48.88,50.49,51.49,10.83,1.04,2.51,90.1,0.37,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,49.25,47.92,48.56,50.18,51.19,-385.72,4.7,1.47,67.4,2.82,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,48.52,47.94,48.17,48.95,49.6,-250.94,5.46,1.9,69.5,3.09,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,45.33,44.41,45.68,44.9,44.26,359.29,4.33,2.0,71.5,5.21,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TP2,45.33,44.06,45.68,44.9,44.26,54.96,0.48,2.0,71.5,7.17,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,43.73,44.59,44.23,43.12,42.51,-427.01,5.59,1.97,69.8,3.38,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,43.65,44.18,43.96,43.26,42.69,-289.81,7.81,1.54,67.7,2.6,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,44.48,45.06,44.67,44.24,43.88,-455.66,8.83,2.0,70.5,5.89,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,44.37,45.0,44.62,44.06,43.6,-431.06,6.13,2.51,77.6,6.24,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,43.65,44.1,43.93,43.31,42.8,-148.26,2.96,2.44,77.2,3.94,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,42.68,43.1,42.95,42.34,41.84,-104.96,2.66,2.0,73.4,3.09,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,45.53,45.99,45.31,45.81,46.22,120.46,2.62,2.3,76.5,4.65,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,45.53,45.81,45.31,45.81,46.22,12.72,0.46,2.3,76.5,2.77,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,46.3,46.01,46.06,46.6,47.04,-158.23,6.1,2.0,72.3,2.46,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,46.25,45.91,46.0,46.56,47.03,-112.11,3.18,2.37,76.8,3.17,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,47.37,46.24,47.11,47.7,48.18,-321.69,3.27,2.0,74.3,8.51,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,46.56,47.17,46.22,46.97,47.6,224.37,4.35,2.0,70.4,3.56,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,46.56,47.79,46.22,46.97,47.6,79.74,0.78,2.0,70.4,7.18,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,46.93,46.55,46.71,47.19,47.59,-149.75,3.83,2.38,76.9,4.17,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,47.44,47.11,47.27,47.66,47.98,-210.64,7.19,2.07,75.3,3.93,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,47.09,47.41,46.9,47.32,47.66,166.13,6.34,1.9,69.5,3.27,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,47.09,48.37,46.9,47.32,47.66,114.91,1.14,1.9,69.5,12.84,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,49.76,50.97,49.48,50.1,50.6,398.22,4.18,2.0,74.2,8.68,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,49.76,50.97,49.48,50.1,50.6,44.44,0.47,2.0,74.2,8.68,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,50.66,50.21,50.3,51.09,51.75,-199.76,5.62,2.0,70.6,2.47,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,51.19,53.05,50.85,51.6,52.22,624.86,4.46,2.0,74.8,10.98,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,51.19,53.05,50.85,51.6,52.22,69.06,0.49,2.0,74.8,10.98,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,54.93,53.9,54.38,55.61,56.28,-270.11,3.51,2.0,74.5,3.72,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,53.84,52.61,53.11,54.82,55.88,-338.69,2.9,2.51,90.1,4.2,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,54.26,55.13,53.71,54.94,55.61,160.51,1.88,2.72,78.6,4.25,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,54.26,54.25,53.71,54.94,55.61,-0.62,0.62,2.72,78.6,0.05,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,54.96,54.38,54.52,55.48,56.27,-175.29,4.12,2.0,74.8,2.68,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,55.46,56.0,55.04,55.97,56.74,103.18,2.11,2.55,77.7,3.24,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,55.46,55.43,55.04,55.97,56.74,-0.84,0.37,2.55,77.7,0.15,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,54.28,53.54,53.97,54.67,55.25,-477.99,13.48,1.28,66.4,2.97,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,54.68,55.71,54.29,55.14,55.84,194.18,2.3,2.28,76.4,6.11,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,54.68,56.41,54.29,55.14,55.84,36.23,0.26,2.28,76.4,10.22,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,57.17,56.81,56.82,57.63,58.38,-163.37,4.45,2.94,88.8,2.99,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,56.21,55.35,55.89,56.63,57.32,-406.95,4.75,2.77,85.4,7.42,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,55.93,56.72,55.62,56.3,56.86,240.92,3.18,2.71,78.5,7.0,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,55.93,55.9,55.62,56.3,56.86,-0.98,0.35,2.71,78.5,0.26,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,54.43,54.09,54.13,54.79,55.32,-172.49,5.69,2.41,77.1,2.77,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,54.73,55.31,54.48,55.04,55.5,226.9,5.45,2.0,74.0,4.53,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,54.73,54.97,54.48,55.04,55.5,10.63,0.6,2.0,74.0,1.91,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,55.29,54.63,55.01,55.64,56.15,-345.75,7.14,2.0,72.9,4.7,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,55.53,56.08,55.19,55.95,56.58,163.53,4.2,2.0,73.1,3.17,-0.1,,WIN,,,
HYPE,LONG,ensemble,TP2,55.53,56.97,55.19,55.95,56.58,75.96,0.75,2.0,73.1,8.32,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,58.84,58.28,58.39,59.39,60.21,-122.28,3.18,2.0,74.3,2.48,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,58.36,59.0,58.04,58.8,59.49,229.96,3.7,2.88,87.5,5.64,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,58.36,58.48,58.04,58.8,59.49,10.52,0.92,2.88,87.5,1.03,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,58.5,57.94,58.15,58.97,59.73,-244.58,4.33,2.89,87.9,4.63,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,52.81,52.21,53.04,52.53,52.1,221.74,4.82,2.0,73.0,5.17,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,52.81,52.48,53.04,52.53,52.1,13.6,0.54,2.0,73.0,2.85,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
